W/O SENT,,,,,,,,
,0,1,2,3,Total,Users,,
0,1012,128,15,11,1166,86.79245283,,
1,133,1511,18,18,1680,89.94047619,,overall accuracy
2,11,16,1385,34,1446,95.78146611,,88.85281385
3,6,16,109,197,328,60.06097561,,
Total,1162,1671,1527,260,4620,,,
Producers,87.09122203,90.42489527,90.70072037,75.76923077,,,,
,,,,,,,,
,0,1,2,3,Total,Users,,
0,1006,133,14,10,1163,86.50042992,,
1,150,1505,16,15,1686,89.26453144,,overall accuracy
2,10,20,1398,51,1479,94.52332657,,88.71772619
3,4,12,85,180,281,64.0569395,,
Total,1170,1670,1513,256,4609,,,
Producers,85.98290598,90.11976048,92.39920687,70.3125,,,,
,,,,,,,,
ALL BANDS,,,,,,,,
,0,1,2,3,Total,Users,,
0,1041,109,3,12,1165,89.35622318,,
1,102,1566,15,13,1696,92.33490566,,overall accuracy
2,6,26,1432,41,1505,95.14950166,,90.51484725
3,6,14,97,198,315,62.85714286,,
Total,1155,1715,1547,264,4681,,,
Producers,90.12987013,91.31195335,92.56625727,75,,,,
,,,,,,,,
,0,1,2,3,Total,Users,,
0,1027,93,7,19,1146,89.61605585,,
1,113,1507,18,13,1651,91.27801333,,overall accuracy
2,6,22,1388,64,1480,93.78378378,,89.95623632
3,4,24,76,189,293,64.50511945,,
Total,1150,1646,1489,285,4570,,,
Producers,89.30434783,91.55528554,93.21692411,66.31578947,,,,
